This is a record of the ancestors of Jesus the Messiah , a descendant of David and of Abraham : ||| Das Buch der Geschichte Jesu Christi , des Sohnes Davids , des Sohnes Abrahams :
Cornelius stared at him in terror . “ What is it , sir ? ” he asked the angel . And the angel replied , “ Your prayers and gifts to the poor have been received by God as an offering ! ||| Der Mann schaute ihn unverwandt an und sagte , von Furcht ergriffen : „ Was ist es , Herr ? “ Er sprach zu ihm : „ Deine Gebete und Gaben der Barmherzigkeit sind zur Erinnerung vor Gott emporgestiegen .
Now send some men to Joppa , and summon a man named Simon Peter . ||| So sende nun Männer nach Jọppe , und laß einen gewissen Sịmon holen , der den Beinamen Petrus hat .
He is staying with Simon , a tanner who lives near the seashore . ” ||| Dieser ist bei einem gewissen Sịmon , einem Gerber , der ein Haus am Meer hat , zu Gast . “
As soon as the angel was gone , Cornelius called two of his household servants and a devout soldier , one of his personal attendants . ||| Sobald der Engel , der zu ihm geredet hatte , weggegangen war , rief er zwei seiner Hausknechte und einen [ gott ] ergebenen Soldaten von denen , die ihm ständig zu Diensten standen ,
He told them what had happened and sent them off to Joppa . ||| und er erzählte ihnen alles und sandte sie nach Jọppe .
The next day as Cornelius’s messengers were nearing the town , Peter went up on the flat roof to pray . It was about noon , ||| Als sie am nächsten Tag ihre Reise fortsetzten und sich der Stadt näherten , stieg Petrus um die sechste Stunde auf das Dach des Hauses , um zu beten .
and he was hungry . But while a meal was being prepared , he fell into a trance . ||| Er wurde aber sehr hungrig und wollte essen . Während man etwas herrichtete , fiel er in einen Trancezustand
He saw the sky open , and something like a large sheet was let down by its four corners . ||| und sah den Himmel geöffnet und eine Art Gefäß herabkommen gleich einem großen Leinentuch , das an seinen vier Zipfeln auf die Erde herabgelassen wurde ;
In the sheet were all sorts of animals , reptiles , and birds . ||| und es waren alle Arten vierfüßiger und kriechender Tiere der Erde und Vögel des Himmels darin .
Then a voice said to him , “ Get up , Peter ; kill and eat them . ” ||| Und eine Stimme erging an ihn : „ Steh auf , Petrus , schlachte und iß ! “
“ No , Lord , ” Peter declared . “ I have never eaten anything that our Jewish laws have declared impure and unclean . ” ||| Petrus aber sagte : „ Nicht doch , Herr , denn ich habe niemals etwas Verunreinigtes und Unreines gegessen . “
But the voice spoke again : “ Do not call something unclean if God has made it clean . ” ||| Und die Stimme [ redete ] wieder zu ihm , zum zweiten Mal : „ Hör du auf , die Dinge verunreinigt zu nennen , die Gott gereinigt hat . “
The same vision was repeated three times . Then the sheet was suddenly pulled up to heaven . ||| Dies geschah ein drittes Mal , und sogleich wurde das Gefäß in den Himmel hinaufgenommen .
Peter was very perplexed . What could the vision mean ? Just then the men sent by Cornelius found Simon’s house . Standing outside the gate , ||| Als nun Petrus wegen der Bedeutung der Vision , die er gehabt hatte , innerlich in großer Verlegenheit war , siehe , da hatten sich die Männer , die Kornẹlius gesandt hatte , nach Sịmons Haus erkundigt und standen dort am Tor .
they asked if a man named Simon Peter was staying there . ||| Und sie riefen und erkundigten sich , ob Sịmon , der den Beinamen Petrus habe , dort zu Gast sei .
Meanwhile , as Peter was puzzling over the vision , the Holy Spirit said to him , “ Three men have come looking for you . ||| Während Petrus in seinem Sinn über die Vision nachdachte , sprach der Geist : „ Siehe ! Drei Männer suchen dich .
Get up , go downstairs , and go with them without hesitation . Don’t worry , for I have sent them . ” ||| Doch mache dich auf , steig hinab , und begib dich mit ihnen auf den Weg , ohne irgendwie zu zweifeln , denn ich habe sie gesandt . “
So Peter went down and said , “ I’m the man you are looking for . Why have you come ? ” ||| Da stieg Petrus zu den Männern hinab und sagte : „ Seht ! Ich bin es , den ihr sucht . Aus welchem Grund seid ihr hier ? “
They said , “ We were sent by Cornelius , a Roman officer . He is a devout and God-fearing man , well respected by all the Jews . A holy angel instructed him to summon you to his house so that he can hear your message . ” ||| Sie sprachen : „ Kornẹlius , ein Offizier , ein Mann , der gerecht ist und Gott fürchtet und bei der ganzen Nation der Juden in gutem Ruf steht , wurde von Gott durch einen heiligen Engel angewiesen , dich in sein Haus kommen zu lassen und das , was du zu sagen hast , zu hören . “
So Peter invited the men to stay for the night . The next day he went with them , accompanied by some of the brothers from Joppa . ||| Daher rief er sie herein und nahm sie gastlich auf . Am folgenden Tag stand er auf und ging mit ihnen weg , und einige von den Brüdern , die aus Jọppe waren , gingen mit ihm .
They arrived in Caesarea the following day . Cornelius was waiting for them and had called together his relatives and close friends . ||| Am Tag danach traf er in Cäsarẹa ein . Kornẹlius erwartete sie natürlich und hatte seine Verwandten und vertrauten Freunde zusammengerufen .
As Peter entered his home , Cornelius fell at his feet and worshiped him . ||| Als Petrus eintrat , kam ihm Kornẹlius entgegen , fiel ihm zu Füßen und huldigte ihm .
But Peter pulled him up and said , “ Stand up ! I’m a human being just like you ! ” ||| Petrus aber hob ihn auf und sprach : „ Steh auf ; ich selbst bin auch ein Mensch . “
So they talked together and went inside , where many others were assembled . ||| Und während er sich mit ihm unterhielt , ging er hinein und fand viele Leute versammelt ,
Peter told them , “ You know it is against our laws for a Jewish man to enter a Gentile home like this or to associate with you . But God has shown me that I should no longer think of anyone as impure or unclean . ||| und er sprach zu ihnen : „ Ihr wißt wohl , daß es einem Juden nicht erlaubt ist , sich einem Menschen von einer anderen Rasse anzuschließen oder sich ihm zu nähern ; und doch hat Gott mir gezeigt , daß ich keinen Menschen verunreinigt oder unrein nennen sollte .
So I came without objection as soon as I was sent for . Now tell me why you sent for me . ” ||| Infolgedessen bin ich wirklich ohne Widerrede gekommen , als nach mir gesandt wurde . Daher erkundige ich mich nach dem Grund , aus dem ihr mich habt holen lassen . “
Cornelius replied , “ Four days ago I was praying in my house about this same time , three o’clock in the afternoon . Suddenly , a man in dazzling clothes was standing in front of me . ||| Demgemäß sagte Kornẹlius : „ Vor vier Tagen , von dieser Stunde an gerechnet , betete ich zur neunten Stunde in meinem Haus , als , siehe , ein Mann in hellglänzendem Gewand vor mir stand
He told me , ‘ Cornelius , your prayer has been heard , and your gifts to the poor have been noticed by God ! ||| und sprach : ‚ Kornẹlius , dein Gebet ist erhört und deiner Gaben der Barmherzigkeit ist vor Gott gedacht worden .
Now send messengers to Joppa , and summon a man named Simon Peter . He is staying in the home of Simon , a tanner who lives near the seashore . ’ ||| Sende daher nach Jọppe , und laß Sịmon rufen , der den Beinamen Petrus hat . Dieser ist in dem Haus Sịmons , eines Gerbers , das am Meer liegt , zu Gast . ‘
So I sent for you at once , and it was good of you to come . Now we are all here , waiting before God to hear the message the Lord has given you . ” ||| Daher sandte ich sogleich zu dir , und du hast gut getan hierherzukommen . Und so sind wir zu dieser Zeit alle vor Gott anwesend , um alles zu hören , was zu sagen dir von Jehova geboten worden ist . “
Then Peter replied , “ I see very clearly that God shows no favoritism . ||| Darauf tat Petrus den Mund auf und sprach : „ Bestimmt merke ich , daß Gott nicht parteiisch ist ,
In every nation he accepts those who fear him and do what is right . ||| sondern daß für ihn in jeder Nation der Mensch , der ihn fürchtet und Gerechtigkeit wirkt , annehmbar ist .
This is the message of Good News for the people of Israelthat there is peace with God through Jesus Christ , who is Lord of all . ||| Er hat den Söhnen Israels das Wort gesandt , um ihnen die gute Botschaft des Friedens durch Jesus Christus zu verkündigen : Dieser ist der Herr von allen [ anderen ] .
You know what happened throughout Judea , beginning in Galilee , after John began preaching his message of baptism . ||| Ihr wißt , wovon nach der Taufe , die Johạnnes predigte , in ganz Judạ̈a , angefangen von Galilạ̈a , die Rede war ,
And you know that God anointed Jesus of Nazareth with the Holy Spirit and with power . Then Jesus went around doing good and healing all who were oppressed by the devil , for God was with him . ||| nämlich von Jesus , der von Nạzareth war , wie Gott ihn mit heiligem Geist und Kraft salbte , und er ging durchs Land und tat Gutes und machte alle gesund , die vom Teufel bedrückt wurden ; denn Gott war mit ihm .
“ And we apostles are witnesses of all he did throughout Judea and in Jerusalem . They put him to death by hanging him on a cross , ||| Und wir sind Zeugen all der Dinge , die er im Land der Juden und auch in Jerusalem tat ; aber sie brachten ihn auch um , indem sie ihn an einen Stamm hängten .
but God raised him to life on the third day . Then God allowed him to appear , ||| Diesen hat Gott am dritten Tag auferweckt und ihn offenbar werden lassen ,
not to the general public , but to us whom God had chosen in advance to be his witnesses . We were those who ate and drank with him after he rose from the dead . ||| nicht dem ganzen Volk , sondern den von Gott zuvor bestimmten Zeugen , uns , die wir mit ihm aßen und tranken , nachdem er von den Toten auferstanden war .
And he ordered us to preach everywhere and to testify that Jesus is the one appointed by God to be the judge of allthe living and the dead . ||| Auch befahl er uns , dem Volk zu predigen und ein gründliches Zeugnis davon abzulegen , daß dies derjenige ist , der von Gott dazu verordnet ist , Richter der Lebenden und der Toten zu sein .
He is the one all the prophets testified about , saying that everyone who believes in him will have their sins forgiven through his name . ” ||| Ihn betreffend legen alle Propheten Zeugnis ab , daß jeder , der an ihn glaubt , durch seinen Namen Vergebung der Sünden erlangt . “
Even as Peter was saying these things , the Holy Spirit fell upon all who were listening to the message . ||| Während Petrus noch von diesen Dingen redete , fiel der heilige Geist auf alle , die das Wort hörten .
The Jewish believers who came with Peter were amazed that the gift of the Holy Spirit had been poured out on the Gentiles , too . ||| Und die Treuen , die mit Petrus gekommen waren , die zu den Beschnittenen gehörten , staunten , weil die freie Gabe des heiligen Geistes auch auf Leute aus den Nationen ausgegossen wurde .
For they heard them speaking in other tongues and praising God . Then Peter asked , ||| Denn sie hörten sie in Zungen reden und Gott verherrlichen . Da ergriff Petrus das Wort :
“ Can anyone object to their being baptized , now that they have received the Holy Spirit just as we did ? ” ||| „ Kann jemand das Wasser verwehren , so daß diese nicht getauft würden , die den heiligen Geist ebenso empfangen haben wie wir ? “
So he gave orders for them to be baptized in the name of Jesus Christ . Afterward Cornelius asked him to stay with them for several days . ||| Hierauf gebot er , daß sie im Namen Jesu Christi getauft würden . Dann baten sie ihn , einige Tage dazubleiben .
Soon the news reached the apostles and other believers in Judea that the Gentiles had received the word of God . ||| Nun hörten die Apostel und die Brüder , die in Judạ̈a waren , daß auch Leute aus den Nationen das Wort Gottes angenommen hatten .
But when Peter arrived back in Jerusalem , the Jewish believers criticized him . ||| Als daher Petrus nach Jerusalem hinaufkam , begannen die [ Verfechter ] der Beschneidung mit ihm zu streiten ,
“ You entered the home of Gentiles and even ate with them ! ” they said . ||| indem sie sagten , er sei in das Haus von Männern gegangen , die nicht beschnitten waren , und habe mit ihnen gegessen .
Then Peter told them exactly what had happened . ||| Darauf fing Petrus an und erklärte ihnen dann die Einzelheiten , indem er sprach :
“ I was in the town of Joppa , ” he said , “ and while I was praying , I went into a trance and saw a vision . Something like a large sheet was let down by its four corners from the sky . And it came right down to me . ||| „ Ich war in der Stadt Jọppe und betete , und in einem Trancezustand hatte ich eine Vision ; eine Art Gefäß kam herab gleich einem großen Leinentuch , das an seinen vier Zipfeln vom Himmel herabgelassen wurde , und es kam direkt zu mir her .
When I looked inside the sheet , I saw all sorts of tame and wild animals , reptiles , and birds . ||| Während ich unverwandt hineinschaute , gewahrte ich und sah vierfüßige Tiere der Erde und wilde Tiere und kriechende Tiere und Vögel des Himmels .
And I heard a voice say , ‘ Get up , Peter ; kill and eat them . ’ ||| Auch hörte ich eine Stimme zu mir sagen : ‚ Steh auf , Petrus , schlachte und iß ! ‘
“ ‘ No , Lord , ’ I replied . ‘ I have never eaten anything that our Jewish laws have declared impure or unclean . ’ ||| Ich sagte indes : ‚ Nicht doch , Herr , denn niemals ist etwas Verunreinigtes oder Unreines in meinen Mund gekommen . ‘
“ But the voice from heaven spoke again : ‘ Do not call something unclean if God has made it clean . ’ ||| Das zweite Mal antwortete die Stimme vom Himmel : ‚ Hör du auf , die Dinge verunreinigt zu nennen , die Gott gereinigt hat . ‘
This happened three times before the sheet and all it contained was pulled back up to heaven . ||| Dies geschah ein drittes Mal , und alles wurde wieder in den Himmel hinaufgezogen .
“ Just then three men who had been sent from Caesarea arrived at the house where we were staying . ||| Und siehe , in diesem Augenblick standen drei Männer vor dem Haus , in dem wir uns befanden , die aus Cäsarẹa zu mir gesandt worden waren .
The Holy Spirit told me to go with them and not to worry that they were Gentiles . These six brothers here accompanied me , and we soon entered the home of the man who had sent for us . ||| Da hieß mich der Geist , mit ihnen zu gehen , ohne irgendwie zu zweifeln . Es gingen aber auch diese sechs Brüder mit mir , und wir traten in das Haus des Mannes ein .
He told us how an angel had appeared to him in his home and had told him , ‘ Send messengers to Joppa , and summon a man named Simon Peter . ||| Er berichtete uns , wie er den Engel in seinem Haus hatte stehen sehen , welcher sprach : ‚ Sende Männer nach Jọppe , und laß Sịmon , der den Beinamen Petrus hat , holen ,
He will tell you how you and everyone in your household can be saved ! ’ ||| und er wird das zu dir reden , wodurch du und alle deine Hausgenossen gerettet werden können . ‘
“ As I began to speak , ” Peter continued , “ the Holy Spirit fell on them , just as he fell on us at the beginning . ||| Als ich aber zu reden anfing , fiel der heilige Geist ebenso auf sie , wie er zu Anfang auch auf uns gefallen war .
Then I thought of the Lord’s words when he said , ‘ John baptized with water , but you will be baptized with the Holy Spirit . ’ ||| Da kam mir der Ausspruch des Herrn in den Sinn , als er gesagt hatte : ‚ Johạnnes seinerseits taufte mit Wasser , ihr aber werdet in heiligem Geist getauft werden . ‘
And since God gave these Gentiles the same gift he gave us when we believed in the Lord Jesus Christ , who was I to stand in God’s way ? ” ||| Wenn Gott ihnen also die gleiche freie Gabe verliehen hat , wie er sie auch uns verlieh , die wir an den Herrn Jesus Christus gläubig geworden sind , wer war ich denn , daß ich Gott hätte hindern können ? “
When the others heard this , they stopped objecting and began praising God . They said , “ We can see that God has also given the Gentiles the privilege of repenting of their sins and receiving eternal life . ” ||| Als sie nun diese Dinge hörten , beruhigten sie sich , und sie verherrlichten Gott und sprachen : „ Nun , dann hat Gott auch den Menschen von den Nationen die [ Gelegenheit zur ] Reue gewährt , die zum Leben gereicht . “
Meanwhile , the believers who had been scattered during the persecution after Stephen’s death traveled as far as Phoenicia , Cyprus , and Antioch of Syria . They preached the word of God , but only to Jews . ||| Deshalb zogen die , die durch die Drangsal zerstreut worden waren , welche wegen Stẹphanus entstand , bis nach Phönịzien und Zypern und Antiọchia , redeten das Wort jedoch zu niemand als nur zu den Juden .
However , some of the believers who went to Antioch from Cyprus and Cyrene began preaching to the Gentiles about the Lord Jesus . ||| Doch gab es unter ihnen einige Männer aus Zypern und Kyrẹne , die nach Antiọchia kamen und zu den griechisch sprechenden Leuten zu reden begannen , indem sie die gute Botschaft vom Herrn Jesus verkündigten .
The power of the Lord was with them , and a large number of these Gentiles believed and turned to the Lord . ||| Überdies war die Hand Jehovas mit ihnen , und eine große Zahl , die gläubig wurde , wandte sich dem Herrn zu .
When the church at Jerusalem heard what had happened , they sent Barnabas to Antioch . ||| Der Bericht über sie kam der Versammlung , die in Jerusalem war , zu Ohren , und sie entsandte Bạrnabas bis nach Antiọchia .
When he arrived and saw this evidence of God’s blessing , he was filled with joy , and he encouraged the believers to stay true to the Lord . ||| Als er angekommen war und die unverdiente Güte Gottes wahrnahm , freute er sich und begann alle zu ermuntern , nach dem Vorsatz ihres Herzens im Herrn zu verharren ;
Barnabas was a good man , full of the Holy Spirit and strong in faith . And many people were brought to the Lord . ||| denn er war ein guter Mann und voll heiligem Geist und Glauben . Und eine beträchtliche Volksmenge wurde für den Herrn hinzugefügt .
Then Barnabas went on to Tarsus to look for Saul . ||| Da ging er weg nach Tạrsus , um gründlich nach Saulus zu suchen ,
When he found him , he brought him back to Antioch . Both of them stayed there with the church for a full year , teaching large crowds of people . ( It was at Antioch that the believers were first called Christians . ) ||| und nachdem er ihn gefunden hatte , brachte er ihn nach Antiọchia . So kam es , daß sie ein ganzes Jahr lang mit ihnen in der Versammlung zusammenkamen und eine beträchtliche Volksmenge lehrten , und es war zuerst in Antiọchia , daß die Jünger durch göttliche Vorsehung Christen genannt wurden .
During this time some prophets traveled from Jerusalem to Antioch . ||| In diesen Tagen nun kamen Propheten von Jerusalem nach Antiọchia herab .
One of them named Agabus stood up in one of the meetings and predicted by the Spirit that a great famine was coming upon the entire Roman world . ( This was fulfilled during the reign of Claudius . ) ||| Einer von ihnen namens Ạgabus stand auf und ging daran , durch den Geist anzuzeigen , daß eine große Hungersnot über die ganze bewohnte Erde zu kommen im Begriff sei , die dann in der Zeit des Claudius tatsächlich eintrat .
So the believers in Antioch decided to send relief to the brothers and sisters in Judea , everyone giving as much as they could . ||| Da bestimmten die Jünger , daß jeder von ihnen , so wie er es sich leisten konnte , den in Judạ̈a wohnenden Brüdern als Dienstleistung eine Unterstützung sende ;
This they did , entrusting their gifts to Barnabas and Saul to take to the elders of the church in Jerusalem . ||| und das taten sie , indem sie es durch die Hand des Bạrnabas und Saulus an die älteren Männer sandten .
About that time King Herod Agrippa began to persecute some believers in the church . ||| Um jene besondere Zeit legte der König Herodes Hand an einige von denen , die zur Versammlung gehörten , um sie zu mißhandeln .
He had the apostle James ( John’s brother ) killed with a sword . ||| Er brachte Jakobus , den Bruder des Johạnnes , mit dem Schwert um .
When Herod saw how much this pleased the Jewish people , he also arrested Peter . ( This took place during the Passover celebration . ) ||| Als er sah , daß es den Juden gefiel , ließ er auch Petrus festnehmen . ( Es waren gerade die Tage der ungesäuerten Brote . )
Then he imprisoned him , placing him under the guard of four squads of four soldiers each . Herod intended to bring Peter out for public trial after the Passover . ||| Und nachdem er ihn ergriffen hatte , setzte er ihn ins Gefängnis und übergab ihn zur Bewachung vier sich ablösenden Trupps von je vier Soldaten , da er beabsichtigte , ihn nach dem Passah dem Volk vorzuführen .
But while Peter was in prison , the church prayed very earnestly for him . ||| Infolgedessen wurde Petrus im Gefängnis behalten ; aber die Versammlung betete fortgesetzt inbrünstig für ihn zu Gott .
The night before Peter was to be placed on trial , he was asleep , fastened with two chains between two soldiers . Others stood guard at the prison gate . ||| Als Herodes nun im Begriff war , ihn vorzuführen , schlief Petrus in jener Nacht , mit zwei Ketten gebunden , zwischen zwei Soldaten , und Wachtposten vor der Tür verwahrten das Gefängnis .
Suddenly , there was a bright light in the cell , and an angel of the Lord stood before Peter . The angel struck him on the side to awaken him and said , “ Quick ! Get up ! ” And the chains fell off his wrists . ||| Doch siehe , Jehovas Engel stand da , und ein Licht leuchtete in der Gefängniszelle . Er stieß Petrus in die Seite und weckte ihn , indem er sprach : „ Steh schnell auf ! “ Und seine Ketten fielen ihm von den Händen .
Then the angel told him , “ Get dressed and put on your sandals . ” And he did . “ Now put on your coat and follow me , ” the angel ordered . ||| Der Engel sprach zu ihm : „ Gürte dich , und binde deine Sandalen um . “ Er tat es . Schließlich sagte er zu ihm : „ Wirf dein äußeres Kleid um , und folge mir nach . “
So Peter left the cell , following the angel . But all the time he thought it was a vision . He didn’t realize it was actually happening . ||| Und er ging hinaus und folgte ihm nach , aber er wußte nicht , daß das , was durch den Engel geschah , Wirklichkeit war . In der Tat , er meinte , eine Vision zu haben .
They passed the first and second guard posts and came to the iron gate leading to the city , and this opened for them all by itself . So they passed through and started walking down the street , and then the angel suddenly left him . ||| Sie gingen durch die erste Wache und die zweite und gelangten an das eiserne Tor , das in die Stadt führte , und dieses öffnete sich ihnen von selbst . Und nachdem sie hinausgegangen waren , schritten sie eine Straße weiter , und der Engel schied sogleich von ihm .
Peter finally came to his senses . “ It’s really true ! ” he said . “ The Lord has sent his angel and saved me from Herod and from what the Jewish leaders had planned to do to me ! ” ||| Und als Petrus zu sich kam , sagte er : „ Jetzt weiß ich tatsächlich , daß Jehova seinen Engel ausgesandt und mich aus der Hand des Herodes und von all dem befreit hat , was das Volk der Juden erwartete . “
When he realized this , he went to the home of Mary , the mother of John Mark , where many were gathered for prayer . ||| Und nachdem er es sich überlegt hatte , begab er sich zum Haus der Maria , der Mutter des Johạnnes , der den Beinamen Markus hatte , wo ziemlich viele versammelt waren und beteten .
He knocked at the door in the gate , and a servant girl named Rhoda came to open it . ||| Als er an die Tür des Torweges klopfte , kam ein Dienstmädchen namens Rhọde heraus , um auf den Ruf zu hören ,
When she recognized Peter’s voice , she was so overjoyed that , instead of opening the door , she ran back inside and told everyone , “ Peter is standing at the door ! ” ||| und als sie die Stimme des Petrus erkannte , öffnete sie vor Freude das Tor nicht , sondern lief hinein und berichtete , daß Petrus vor dem Torweg stehe .
“ You’re out of your mind ! ” they said . When she insisted , they decided , “ It must be his angel . ” ||| Sie sagten zu ihr : „ Du bist von Sinnen ! “ Sie aber beteuerte ihnen , daß es so sei . Da begannen sie zu sagen : „ Es ist sein Engel . “
Meanwhile , Peter continued knocking . When they finally opened the door and saw him , they were amazed . ||| Petrus aber blieb dort und klopfte . Als sie öffneten , sahen sie ihn und waren erstaunt .
He motioned for them to quiet down and told them how the Lord had led him out of prison . “ Tell James and the other brothers what happened , ” he said . And then he went to another place . ||| Er aber winkte ihnen mit der Hand , zu schweigen , und sagte ihnen im einzelnen , wie Jehova ihn aus dem Gefängnis herausgebracht hatte , und er sprach : „ Berichtet diese Dinge Jakobus und den Brüdern . “ Darauf ging er hinaus und begab sich an einen anderen Ort .
At dawn there was a great commotion among the soldiers about what had happened to Peter . ||| Als es nun Tag wurde , entstand unter den Soldaten eine nicht geringe Aufregung darüber , was wohl aus Petrus geworden sei .
Herod Agrippa ordered a thorough search for him . When he couldn’t be found , Herod interrogated the guards and sentenced them to death . Afterward Herod left Judea to stay in Caesarea for a while . ||| Herodes ließ ihn fleißig suchen , und als man ihn nicht fand , verhörte er die Wachtposten und gebot , sie [ zur Bestrafung ] abzuführen ; und er ging von Judạ̈a nach Cäsarẹa hinab und verbrachte einige Zeit dort .
Now Herod was very angry with the people of Tyre and Sidon . So they sent a delegation to make peace with him because their cities were dependent upon Herod’s country for food . The delegates won the support of Blastus , Herod’s personal assistant , ||| Nun war er in Kampfesstimmung gegen die Leute von Tỵrus und Sịdon . Da kamen sie einmütig zu ihm , und nachdem sie Blạstus , der über das Schlafgemach des Königs gesetzt war , überredet hatten , begannen sie um Frieden zu bitten , weil ihr Land von dem des Königs mit Nahrung versorgt wurde .
and an appointment with Herod was granted . When the day arrived , Herod put on his royal robes , sat on his throne , and made a speech to them . ||| An einem festgesetzten Tag jedoch kleidete sich Herodes in ein Königsgewand und setzte sich auf den Richterstuhl und begann ihnen eine öffentliche Ansprache zu halten .
The people gave him a great ovation , shouting , “ It’s the voice of a god , not of a man ! ” ||| Das versammelte Volk seinerseits begann zu schreien : „ Eines Gottes Stimme und nicht eines Menschen ! “
Instantly , an angel of the Lord struck Herod with a sickness , because he accepted the people’s worship instead of giving the glory to God . So he was consumed with worms and died . ||| Da schlug ihn der Engel Jehovas augenblicklich , weil er nicht Gott die Ehre gab ; und er wurde von Würmern zerfressen und verschied .
Meanwhile , the word of God continued to spread , and there were many new believers . ||| Das Wort Jehovas aber wuchs weiterhin und breitete sich aus .
When Barnabas and Saul had finished their mission to Jerusalem , they returned , taking John Mark with them . ||| Nachdem nun Bạrnabas und Saulus den Dienst der Unterstützung in Jerusalem völlig ausgeführt hatten , kehrten sie zurück und nahmen Johạnnes mit sich , der den Beinamen Markus hatte .
Among the prophets and teachers of the church at Antioch of Syria were Barnabas , Simeon ( called “ the black man ” ) , Lucius ( from Cyrene ) , Manaen ( the childhood companion of King Herod Antipas ) , and Saul . ||| Nun befanden sich in der Ortsversammlung in Antiọchia Propheten und Lehrer : Bạrnabas und auch Sịmeon , genannt Nịger , und Lụcius von Kyrẹne und Mạnaën , der mit Herodes , dem Bezirksherrscher , erzogen worden war , und Saulus .
One day as these men were worshiping the Lord and fasting , the Holy Spirit said , “ Dedicate Barnabas and Saul for the special work to which I have called them . ” ||| Während sie Jehova öffentlich dienten und fasteten , sprach der heilige Geist : „ Sondert mir von allen Personen Bạrnabas und Saulus für das Werk aus , zu dem ich sie berufen habe . “
So after more fasting and prayer , the men laid their hands on them and sent them on their way . ||| Da fasteten und beteten sie und legten ihnen die Hände auf und ließen sie gehen .
So Barnabas and Saul were sent out by the Holy Spirit . They went down to the seaport of Seleucia and then sailed for the island of Cyprus . ||| Demgemäß begaben sich diese Männer , vom heiligen Geist ausgesandt , nach Seleukịa hinab , und von dort fuhren sie nach Zypern ab .
There , in the town of Salamis , they went to the Jewish synagogues and preached the word of God . John Mark went with them as their assistant . ||| Und in Sạlamis angekommen , begannen sie das Wort Gottes in den Synagogen der Juden zu verkündigen . Sie hatten auch Johạnnes zum Gehilfen .
Afterward they traveled from town to town across the entire island until finally they reached Paphos , where they met a Jewish sorcerer , a false prophet named Bar-Jesus . ||| Als sie die ganze Insel bis nach Pạphos durchzogen hatten , trafen sie einen gewissen Mann , einen Zauberer , einen falschen Propheten , einen Juden mit Namen Bar-Jẹsus ,
He had attached himself to the governor , Sergius Paulus , who was an intelligent man . The governor invited Barnabas and Saul to visit him , for he wanted to hear the word of God . ||| und er befand sich bei dem Prokonsul Sẹrgius Paulus , einem intelligenten Mann . Dieser rief Bạrnabas und Saulus zu sich und suchte ernstlich , das Wort Gottes zu hören .
But Elymas , the sorcerer ( as his name means in Greek ) , interfered and urged the governor to pay no attention to what Barnabas and Saul said . He was trying to keep the governor from believing . ||| Doch Ẹlymas , der Zauberer ( so wird sein Name tatsächlich übersetzt ) , begann ihnen zu widerstehen , indem er den Prokonsul vom Glauben abzuhalten suchte .
Saul , also known as Paul , was filled with the Holy Spirit , and he looked the sorcerer in the eye . ||| Saulus , der auch Paulus heißt , wurde mit heiligem Geist erfüllt , schaute ihn unverwandt an
Then he said , “ You son of the devil , full of every sort of deceit and fraud , and enemy of all that is good ! Will you never stop perverting the true ways of the Lord ? ||| und sprach : „ O du , der du von jeder Art Trug und jeder Art Schurkerei erfüllt bist , du Sohn des Teufels , du Feind alles dessen , was gerecht ist , wirst du nicht aufhören , die rechten Wege Jehovas zu verdrehen ?
Watch now , for the Lord has laid his hand of punishment upon you , and you will be struck blind . You will not see the sunlight for some time . ” Instantly mist and darkness came over the man’s eyes , and he began groping around begging for someone to take his hand and lead him . ||| Nun denn , siehe , Jehovas Hand kommt über dich , und du wirst blind sein und wirst das Sonnenlicht eine Zeitlang nicht sehen . “ Da fiel augenblicklich dichter Nebel und Finsternis auf ihn , und er ging umher und suchte Leute , die ihn an der Hand führen sollten .
When the governor saw what had happened , he became a believer , for he was astonished at the teaching about the Lord . ||| Als dann der Prokonsul sah , was sich begeben hatte , wurde er gläubig , so sehr erstaunt war er über die Lehre Jehovas .
Paul and his companions then left Paphos by ship for Pamphylia , landing at the port town of Perga . There John Mark left them and returned to Jerusalem . ||| Von Pạphos stachen die Männer zusammen mit Paulus nun in See und kamen nach Pẹrge in Pamphỵlien . Johạnnes aber schied von ihnen und kehrte nach Jerusalem zurück .
But Paul and Barnabas traveled inland to Antioch of Pisidia . On the Sabbath they went to the synagogue for the services . ||| Sie aber zogen von Pẹrge aus weiter und kamen nach Antiọchia in Pisịdien , und sie gingen am Sabbattag in die Synagoge und setzten sich .
After the usual readings from the books of Moses and the prophets , those in charge of the service sent them this message : “ Brothers , if you have any word of encouragement for the people , come and give it . ” ||| Nach der Vorlesung des GESETZES und der PROPHETEN sandten die Vorsteher der Synagoge zu ihnen und ließen ihnen sagen : „ Männer , Brüder , wenn ihr irgendein Wort der Ermunterung für das Volk habt , so sagt es . “
So Paul stood , lifted his hand to quiet them , and started speaking . “ Men of Israel , ” he said , “ and you God-fearing Gentiles , listen to me . ||| Da stand Paulus auf , winkte mit der Hand und sprach : „ Männer , Israeliten und ihr [ anderen ] , die ihr Gott fürchtet , hört !
“ The God of this nation of Israel chose our ancestors and made them multiply and grow strong during their stay in Egypt . Then with a powerful arm he led them out of their slavery . ||| Der Gott dieses Volkes Israel erwählte unsere Vorväter , und er erhöhte das Volk während ihrer Fremdlingschaft im Land Ägypten und führte sie mit erhobenem Arm von dort hinaus .
